,input,target
0,"

[Conversation]
화자2: 진짜 신의 한수
화자1: 이사하자마자 비 많이 와서 베란다 물 많이 새는 거 알았잖아
화자2: 글치 계속 해떴으면 몰랐겠지
화자1: 그 때 물새는 거 알고 코킹작업해소 다행이다
화자2: ㅇㅇ 안그랬으면 오늘처럼 비 많이 내리는 날 물바다됐을거야
화자1: 요 아래 씽크홀 공사하던데 괜찮을라나
화자2: 그러게 저번에도 비 많이 와서 땅꺼진 건데 큰일이네
화자1: 하수도 공사도 같이 하더만 물 안빠져서
화자2: 새로 지은 곳인데도 그러네
화자1: 부실공사지 뭐
화자2: 비 많이 올 때는 그쪽으로 다니지 말아야겠다
화자1: ㅇㅇ 조심해
화자1: 저번에 지나가다 보니 좀 무섭더라
화자2: 나도 봤는데 씽크홀 크기가 엄청나더라
화자1: 오늘 비가 엄청 많이 내리네

[Question]
위 대화의 원인으로 올바른 지문은?

[Option]
A. 화자2가 사는 곳 근처에서 베란다 보수 공사가 진행되고 있다.
B. 화자2가 사는 곳 근처에서 싱크홀 보수 공사가 진행되고 있다.
C. 화자2가 사는 곳 근처에서 싱크홀 보수 공사가 중단되었다.",B. 화자2가 사는 곳 근처에서 싱크홀 보수 공사가 진행되고 있다.
1,"

[Conversation]
화자2: 진짜 신의 한수
화자1: 이사하자마자 비 많이 와서 베란다 물 많이 새는 거 알았잖아
화자2: 글치 계속 해떴으면 몰랐겠지
화자1: 그 때 물새는 거 알고 코킹작업해소 다행이다
화자2: ㅇㅇ 안그랬으면 오늘처럼 비 많이 내리는 날 물바다됐을거야
화자1: 요 아래 씽크홀 공사하던데 괜찮을라나
화자2: 그러게 저번에도 비 많이 와서 땅꺼진 건데 큰일이네
화자1: 하수도 공사도 같이 하더만 물 안빠져서
화자2: 새로 지은 곳인데도 그러네
화자1: 부실공사지 뭐
화자2: 비 많이 올 때는 그쪽으로 다니지 말아야겠다
화자1: ㅇㅇ 조심해
화자1: 저번에 지나가다 보니 좀 무섭더라
화자2: 나도 봤는데 씽크홀 크기가 엄청나더라
화자1: 오늘 비가 엄청 많이 내리네

[Question]
위 대화의 동기로 올바른 지문은?

[Option]
A. 화자2는 혹시 모를 위험을 방관하고 싶다.
B. 화자2는 과거에 발생한 사건을 수습하고 싶다.
C. 화자2는 혹시 모를 위험에 대비하고 싶다.",C. 화자2는 혹시 모를 위험에 대비하고 싶다.
2,"

[Conversation]
화자2: 진짜 신의 한수
화자1: 이사하자마자 비 많이 와서 베란다 물 많이 새는 거 알았잖아
화자2: 글치 계속 해떴으면 몰랐겠지
화자1: 그 때 물새는 거 알고 코킹작업해소 다행이다
화자2: ㅇㅇ 안그랬으면 오늘처럼 비 많이 내리는 날 물바다됐을거야
화자1: 요 아래 씽크홀 공사하던데 괜찮을라나
화자2: 그러게 저번에도 비 많이 와서 땅꺼진 건데 큰일이네
화자1: 하수도 공사도 같이 하더만 물 안빠져서
화자2: 새로 지은 곳인데도 그러네
화자1: 부실공사지 뭐
화자2: 비 많이 올 때는 그쪽으로 다니지 말아야겠다
화자1: ㅇㅇ 조심해
화자1: 저번에 지나가다 보니 좀 무섭더라
화자2: 나도 봤는데 씽크홀 크기가 엄청나더라
화자1: 오늘 비가 엄청 많이 내리네

[Question]
위 대화의 전제로 올바른 지문은?

[Option]
A. 화자2가 거주 중인 지역은 강수량이 적다.
B. 화자2가 거주 중인 지역의 땅은 지반이 튼튼하다.
C. 화자2가 거주 중인 지역의 땅은 지반이 약하다.",C. 화자2가 거주 중인 지역의 땅은 지반이 약하다.
3,"

[Conversation]
화자2: 진짜 신의 한수
화자1: 이사하자마자 비 많이 와서 베란다 물 많이 새는 거 알았잖아
화자2: 글치 계속 해떴으면 몰랐겠지
화자1: 그 때 물새는 거 알고 코킹작업해소 다행이다
화자2: ㅇㅇ 안그랬으면 오늘처럼 비 많이 내리는 날 물바다됐을거야
화자1: 요 아래 씽크홀 공사하던데 괜찮을라나
화자2: 그러게 저번에도 비 많이 와서 땅꺼진 건데 큰일이네
화자1: 하수도 공사도 같이 하더만 물 안빠져서
화자2: 새로 지은 곳인데도 그러네
화자1: 부실공사지 뭐
화자2: 비 많이 올 때는 그쪽으로 다니지 말아야겠다
화자1: ㅇㅇ 조심해
화자1: 저번에 지나가다 보니 좀 무섭더라
화자2: 나도 봤는데 씽크홀 크기가 엄청나더라
화자1: 오늘 비가 엄청 많이 내리네

[Question]
위 대화의 반응으로 올바른 지문은?

[Option]
A. 화자1은 조심하려고 노력하는 화자2를 보니 초조하다.
B. 화자1은 조심하려고 노력하는 화자2가 황당하다.
C. 화자1은 조심하려고 노력하는 화자2가 바람직스럽다.",C. 화자1은 조심하려고 노력하는 화자2가 바람직스럽다.
4,"

[Conversation]
화자2: 진짜 신의 한수
화자1: 이사하자마자 비 많이 와서 베란다 물 많이 새는 거 알았잖아
화자2: 글치 계속 해떴으면 몰랐겠지
화자1: 그 때 물새는 거 알고 코킹작업해소 다행이다
화자2: ㅇㅇ 안그랬으면 오늘처럼 비 많이 내리는 날 물바다됐을거야
화자1: 요 아래 씽크홀 공사하던데 괜찮을라나
화자2: 그러게 저번에도 비 많이 와서 땅꺼진 건데 큰일이네
화자1: 하수도 공사도 같이 하더만 물 안빠져서
화자2: 새로 지은 곳인데도 그러네
화자1: 부실공사지 뭐
화자2: 비 많이 올 때는 그쪽으로 다니지 말아야겠다
화자1: ㅇㅇ 조심해
화자1: 저번에 지나가다 보니 좀 무섭더라
화자2: 나도 봤는데 씽크홀 크기가 엄청나더라
화자1: 오늘 비가 엄청 많이 내리네

[Question]
위 대화의 후행사건으로 올바른 지문은?

[Option]
A. 화자2는 베란다 공사를 진행하기 위해 시공업체와 전화 통화를 할 것이다.
B. 화자2는 싱크홀 공사가 진행 중인 곳을 피해 갈 수 있는 경로를 알아볼 것이다.
C. 화자2는 싱크홀 공사가 진행 중인 곳을 방문할 계획을 세울 것이다.",B. 화자2는 싱크홀 공사가 진행 중인 곳을 피해 갈 수 있는 경로를 알아볼 것이다.
5,"

[Conversation]
화자2: 그럼 비혼이신가요?
화자1: 네 ㅋㅋㅋㅋ 사회에 의한 비혼
화자2: 저 또한
화자2: 동지들이 많아지고 있어서 좋아요!!
화자1: ㅎㅎㅎㅎㅎ 반갑습니다
화자1: 혼자 잘살려구요
화자1: 사실 감정 시간 돈 타인한테 쏟을 여유도 없지않나유
화자2: 맞아요!!!! 아 진짜 쿨하게 혼자사는게 좋은데요ㅋㅋ
화자2: 가끔 술한잔 커피한잔 디저트할 친구만 있음 되는데
화자2: 다들 애인이나 남편이 베프라며... ㅋㅋ
화자1: 애인한테 올인하는 삶 너무 불안하지않나요?? 인생긴데
화자2: 남편도 이혼하면 남인디ㅋㅋ
화자2: 너무 믿고싶은것만 믿죠ㅋㅋ
화자1: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 법과 제도가 묶어주는 관계라는게 얼마나 허울뿐인지
화자2: ㅋㅋ그래도 비혼이 많이 늘고있어서 다행이에요
화자1: 맞아요! 혹시 애는 낳고싶으신가요
화자2: 비혼인데요ㅋㅋ
화자2: 놉 책임질 자신이 없어요ㅜㄱㅋㅋ
화자1: ㅋㅋㅋㅋㅋ 저두요 
제 친구중에 비혼인데 애는 낳아서 키우고싶다는 애가 있었어서
화자1: 신기햇어요
화자2: 아ㅋㅋ 진짜 애기 좋아하나봐요.. ㅋㅋ 애 입장도ㅋㅋ

[Question]
위 대화의 원인으로 올바른 지문은?

[Option]
A. 비혼을 결심한 사람들이 점점 늘어나는 추세이다.
B. 출산을 결심한 사람들이 점점 늘어나는 추세이다.
C. 비혼을 결심한 사람들의 비율이 일정하다.",A. 비혼을 결심한 사람들이 점점 늘어나는 추세이다.
6,"

[Conversation]
화자2: 그럼 비혼이신가요?
화자1: 네 ㅋㅋㅋㅋ 사회에 의한 비혼
화자2: 저 또한
화자2: 동지들이 많아지고 있어서 좋아요!!
화자1: ㅎㅎㅎㅎㅎ 반갑습니다
화자1: 혼자 잘살려구요
화자1: 사실 감정 시간 돈 타인한테 쏟을 여유도 없지않나유
화자2: 맞아요!!!! 아 진짜 쿨하게 혼자사는게 좋은데요ㅋㅋ
화자2: 가끔 술한잔 커피한잔 디저트할 친구만 있음 되는데
화자2: 다들 애인이나 남편이 베프라며... ㅋㅋ
화자1: 애인한테 올인하는 삶 너무 불안하지않나요?? 인생긴데
화자2: 남편도 이혼하면 남인디ㅋㅋ
화자2: 너무 믿고싶은것만 믿죠ㅋㅋ
화자1: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 법과 제도가 묶어주는 관계라는게 얼마나 허울뿐인지
화자2: ㅋㅋ그래도 비혼이 많이 늘고있어서 다행이에요
화자1: 맞아요! 혹시 애는 낳고싶으신가요
화자2: 비혼인데요ㅋㅋ
화자2: 놉 책임질 자신이 없어요ㅜㄱㅋㅋ
화자1: ㅋㅋㅋㅋㅋ 저두요 
제 친구중에 비혼인데 애는 낳아서 키우고싶다는 애가 있었어서
화자1: 신기햇어요
화자2: 아ㅋㅋ 진짜 애기 좋아하나봐요.. ㅋㅋ 애 입장도ㅋㅋ

[Question]
위 대화의 동기로 올바른 지문은?

[Option]
A. 화자2는 자신과 가치관이 같은 사람들이 많아 지루하다.
B. 화자2는 자신과 가치관이 같은 사람들만 존재해 행복하다.
C. 화자2는 자신과 가치관이 같은 사람들이 많아 행복하다.",C. 화자2는 자신과 가치관이 같은 사람들이 많아 행복하다.
7,"

[Conversation]
화자2: 그럼 비혼이신가요?
화자1: 네 ㅋㅋㅋㅋ 사회에 의한 비혼
화자2: 저 또한
화자2: 동지들이 많아지고 있어서 좋아요!!
화자1: ㅎㅎㅎㅎㅎ 반갑습니다
화자1: 혼자 잘살려구요
화자1: 사실 감정 시간 돈 타인한테 쏟을 여유도 없지않나유
화자2: 맞아요!!!! 아 진짜 쿨하게 혼자사는게 좋은데요ㅋㅋ
화자2: 가끔 술한잔 커피한잔 디저트할 친구만 있음 되는데
화자2: 다들 애인이나 남편이 베프라며... ㅋㅋ
화자1: 애인한테 올인하는 삶 너무 불안하지않나요?? 인생긴데
화자2: 남편도 이혼하면 남인디ㅋㅋ
화자2: 너무 믿고싶은것만 믿죠ㅋㅋ
화자1: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 법과 제도가 묶어주는 관계라는게 얼마나 허울뿐인지
화자2: ㅋㅋ그래도 비혼이 많이 늘고있어서 다행이에요
화자1: 맞아요! 혹시 애는 낳고싶으신가요
화자2: 비혼인데요ㅋㅋ
화자2: 놉 책임질 자신이 없어요ㅜㄱㅋㅋ
화자1: ㅋㅋㅋㅋㅋ 저두요 
제 친구중에 비혼인데 애는 낳아서 키우고싶다는 애가 있었어서
화자1: 신기햇어요
화자2: 아ㅋㅋ 진짜 애기 좋아하나봐요.. ㅋㅋ 애 입장도ㅋㅋ

[Question]
위 대화의 전제로 올바른 지문은?

[Option]
A. 화자2는 기혼자이다.
B. 화자2는 이혼을 했다.
C. 화자2는 비혼주의이다.",C. 화자2는 비혼주의이다.
8,"

[Conversation]
화자2: 그럼 비혼이신가요?
화자1: 네 ㅋㅋㅋㅋ 사회에 의한 비혼
화자2: 저 또한
화자2: 동지들이 많아지고 있어서 좋아요!!
화자1: ㅎㅎㅎㅎㅎ 반갑습니다
화자1: 혼자 잘살려구요
화자1: 사실 감정 시간 돈 타인한테 쏟을 여유도 없지않나유
화자2: 맞아요!!!! 아 진짜 쿨하게 혼자사는게 좋은데요ㅋㅋ
화자2: 가끔 술한잔 커피한잔 디저트할 친구만 있음 되는데
화자2: 다들 애인이나 남편이 베프라며... ㅋㅋ
화자1: 애인한테 올인하는 삶 너무 불안하지않나요?? 인생긴데
화자2: 남편도 이혼하면 남인디ㅋㅋ
화자2: 너무 믿고싶은것만 믿죠ㅋㅋ
화자1: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 법과 제도가 묶어주는 관계라는게 얼마나 허울뿐인지
화자2: ㅋㅋ그래도 비혼이 많이 늘고있어서 다행이에요
화자1: 맞아요! 혹시 애는 낳고싶으신가요
화자2: 비혼인데요ㅋㅋ
화자2: 놉 책임질 자신이 없어요ㅜㄱㅋㅋ
화자1: ㅋㅋㅋㅋㅋ 저두요 
제 친구중에 비혼인데 애는 낳아서 키우고싶다는 애가 있었어서
화자1: 신기햇어요
화자2: 아ㅋㅋ 진짜 애기 좋아하나봐요.. ㅋㅋ 애 입장도ㅋㅋ

[Question]
위 대화의 반응으로 올바른 지문은?

[Option]
A. 화자1은 비혼주의자가 많아지고 있다는 사실이 안타깝다.
B. 화자1은 기혼자의 수가 점점 늘어나는 것이 우려된다.
C. 화자1은 비혼주의자가 많아지고 있다는 사실이 든든하다.",C. 화자1은 비혼주의자가 많아지고 있다는 사실이 든든하다.
9,"

[Conversation]
화자2: 그럼 비혼이신가요?
화자1: 네 ㅋㅋㅋㅋ 사회에 의한 비혼
화자2: 저 또한
화자2: 동지들이 많아지고 있어서 좋아요!!
화자1: ㅎㅎㅎㅎㅎ 반갑습니다
화자1: 혼자 잘살려구요
화자1: 사실 감정 시간 돈 타인한테 쏟을 여유도 없지않나유
화자2: 맞아요!!!! 아 진짜 쿨하게 혼자사는게 좋은데요ㅋㅋ
화자2: 가끔 술한잔 커피한잔 디저트할 친구만 있음 되는데
화자2: 다들 애인이나 남편이 베프라며... ㅋㅋ
화자1: 애인한테 올인하는 삶 너무 불안하지않나요?? 인생긴데
화자2: 남편도 이혼하면 남인디ㅋㅋ
화자2: 너무 믿고싶은것만 믿죠ㅋㅋ
화자1: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 법과 제도가 묶어주는 관계라는게 얼마나 허울뿐인지
화자2: ㅋㅋ그래도 비혼이 많이 늘고있어서 다행이에요
화자1: 맞아요! 혹시 애는 낳고싶으신가요
화자2: 비혼인데요ㅋㅋ
화자2: 놉 책임질 자신이 없어요ㅜㄱㅋㅋ
화자1: ㅋㅋㅋㅋㅋ 저두요 
제 친구중에 비혼인데 애는 낳아서 키우고싶다는 애가 있었어서
화자1: 신기햇어요
화자2: 아ㅋㅋ 진짜 애기 좋아하나봐요.. ㅋㅋ 애 입장도ㅋㅋ

[Question]
위 대화의 후행사건으로 올바른 지문은?

[Option]
A. 화자2와 화자1은 비혼으로 살면서 후회하는 점들을 공유할 것이다. 
B. 화자2와 화자1은 비혼을 결심하게 된 이유를 공유할 것이다.
C. 화자2와 화자1은 애인과 사귀게 된 이유를 공유할 것이다.",B. 화자2와 화자1은 비혼을 결심하게 된 이유를 공유할 것이다.
